priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta
1,NIFTY 50,NIFTY 50,23150.3,23306.5,23145.8,23250.1,23332.35,-82.25,-0.35,1048522883.18,26277.35,21281.45,283196379,0,235012375040.04,03-Apr-2025 16:00:00,11.52037781587565,-9.250544488274988,3.92,02-Apr-2024,https://nsearchives.nseindia.com/365d/NIFTY-50.svg,03-Mar-2025,5.48,https://nsearchives.nseindia.com/30d/NIFTY-50.svg,https://nsearchives.nseindia.com/today/NIFTY-50.svg,,
0,POWERGRID,POWERGRIDEQN,289.35,299.95,285.1,299.95,286.75,13.2,4.6,1355768555544.01,366.25,247.3,23478876,0,6949277718.48,,18.102389078498295,-21.289931257581877,2.58,02-Apr-2024,https://nsearchives.nseindia.com/365d/POWERGRID-EQ.svg,03-Mar-2025,13.56,https://nsearchives.nseindia.com/30d/POWERGRID-EQ.svg,https://nsearchives.nseindia.com/today/POWERGRIDEQN.svg,EQ,"{'symbol': 'POWERGRID', 'companyName': 'Power Grid Corporation of India Limited', 'industry': 'Power - Transmission', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE752E01010', 'slb_isin': 'INE752E01010', 'listingDate': '2007-10-05', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Apr-2025 16:00:00', 'preOpenTime': '03-Apr-2025 09:07:11', 'QuotePreOpenFlag': False}}"
0,SUNPHARMA,SUNPHARMAEQN,1755.0,1812.7,1750.0,1772.0,1713.65,58.35,3.41,1905308934098.98,1960.35,1377.2,5715573,0,10200868911.75,,9.607978167164024,-28.66686029625326,5.63,02-Apr-2024,https://nsearchives.nseindia.com/365d/SUNPHARMA-EQ.svg,03-Mar-2025,8.11,https://nsearchives.nseindia.com/30d/SUNPHARMA-EQ.svg,https://nsearchives.nseindia.com/today/SUNPHARMAEQN.svg,EQ,"{'symbol': 'SUNPHARMA', 'companyName': 'Sun Pharmaceutical Industries Limited', 'industry': 'Pharmaceuticals', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['P1'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE044A01036', 'slb_isin': 'INE044A01036', 'listingDate': '1995-02-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Apr-2025 16:00:00', 'preOpenTime': '03-Apr-2025 09:07:11', 'QuotePreOpenFlag': False}}"
0,CIPLA,CIPLAEQN,1482.0,1523.3,1480.0,1500.0,1452.35,47.65,3.28,841568939916.24,1702.05,1317.25,3488899,0,5236802510.01,,11.870979113422049,-13.873600303662935,-2.49,02-Apr-2024,https://nsearchives.nseindia.com/365d/CIPLA-EQ.svg,03-Mar-2025,3.18,https://nsearchives.nseindia.com/30d/CIPLA-EQ.svg,https://nsearchives.nseindia.com/today/CIPLAEQN.svg,EQ,"{'symbol': 'CIPLA', 'companyName': 'Cipla Limited', 'industry': 'Pharmaceuticals', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE059A01026', 'slb_isin': 'INE059A01026', 'listingDate': '1995-02-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Apr-2025 16:00:00', 'preOpenTime': '03-Apr-2025 09:07:11', 'QuotePreOpenFlag': False}}"
0,ULTRACEMCO,ULTRACEMCOEQN,11189.0,11650.05,11155.0,11595.1,11250.95,344.15,3.06,1345343192434.79,12145.35,9250.0,361884,0,4164702206.76,,4.530540494921925,-25.352432432432437,12.08,02-Apr-2024,https://nsearchives.nseindia.com/365d/ULTRACEMCO-EQ.svg,03-Mar-2025,8.8,https://nsearchives.nseindia.com/30d/ULTRACEMCO-EQ.svg,https://nsearchives.nseindia.com/today/ULTRACEMCOEQN.svg,EQ,"{'symbol': 'ULTRACEMCO', 'companyName': 'UltraTech Cement Limited', 'industry': 'Cement & Cement Products', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE481G01011', 'slb_isin': 'INE481G01011', 'listingDate': '2004-08-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Apr-2025 16:00:00', 'preOpenTime': '03-Apr-2025 09:07:11', 'QuotePreOpenFlag': False}}"
0,SHRIRAMFIN,SHRIRAMFINEQN,633.0,660.55,632.0,654.1,639.4,14.7,2.3,913007246606.18,730.45,438.6,3704676,0,2417449277.04,,10.452460811828328,-49.13360693114455,-74.07,02-Apr-2024,https://nsearchives.nseindia.com/365d/SHRIRAMFIN-EQ.svg,03-Mar-2025,2.91,https://nsearchives.nseindia.com/30d/SHRIRAMFIN-EQ.svg,https://nsearchives.nseindia.com/today/SHRIRAMFINEQN.svg,EQ,"{'symbol': 'SHRIRAMFIN', 'companyName': 'Shriram Finance Limited', 'industry': 'Non Banking Financial Company (NBFC)', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['NY', 'NZ', 'Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7', 'Y8', 'Y9', 'YA', 'YB', 'YC', 'YD', 'YG', 'YH', 'YJ', 'YK', 'YM', 'YN', 'YO', 'YQ', 'YR', 'YT', 'YU', 'YV', 'YX', 'YY', 'Z1', 'Z2', 'Z3', 'Z6', 'Z7', 'ZA', 'ZD', 'ZG', 'ZJ', 'N1', 'N2', 'N3', 'N4', 'N5', 'N6', 'N7', 'N8', 'N9', 'NA', 'NB', 'NC', 'ND', 'NE', 'NF', 'NG', 'NH', 'NI', 'NJ', 'NK', 'NL', 'NM', 'NN', 'NO', 'NP', 'NQ', 'NR', 'NS', 'NT', 'NU', 'NV', 'NW', 'NX'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE721A01047', 'slb_isin': 'INE721A01047', 'listingDate': '1996-12-11', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Apr-2025 16:00:00', 'preOpenTime': '03-Apr-2025 09:07:11', 'QuotePreOpenFlag': False}}"
0,NTPC,NTPCEQN,351.75,361.35,351.75,359.25,351.75,7.5,2.13,1698836147295.39,448.45,292.8,10317410,0,3694251824.6,,19.890734753038238,-22.694672131147538,2.02,02-Apr-2024,https://nsearchives.nseindia.com/365d/NTPC-EQ.svg,03-Mar-2025,11.88,https://nsearchives.nseindia.com/30d/NTPC-EQ.svg,https://nsearchives.nseindia.com/today/NTPCEQN.svg,EQ,"{'symbol': 'NTPC', 'companyName': 'NTPC Limited', 'industry': 'Power Generation', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['N4', 'N1', 'U1', 'U4'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE733E01010', 'slb_isin': 'INE733E01010', 'listingDate': '2004-11-05', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Apr-2025 16:00:00', 'preOpenTime': '03-Apr-2025 09:07:11', 'QuotePreOpenFlag': False}}"
0,ADANIENT,ADANIENTEQN,2339.75,2429.9,2339.7,2414.0,2369.4,44.6,1.88,627046503531.74,3743.9,2025.0,1023200,0,2459711408.0,,35.52178209888085,-19.209876543209877,-27.51,02-Apr-2024,https://nsearchives.nseindia.com/365d/ADANIENT-EQ.svg,03-Mar-2025,11.92,https://nsearchives.nseindia.com/30d/ADANIENT-EQ.svg,https://nsearchives.nseindia.com/today/ADANIENTEQN.svg,EQ,"{'symbol': 'ADANIENT', 'companyName': 'Adani Enterprises Limited', 'industry': 'Trading - Minerals', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE423A01024', 'slb_isin': 'INE423A01024', 'listingDate': '1997-06-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Apr-2025 16:00:00', 'preOpenTime': '03-Apr-2025 09:07:11', 'QuotePreOpenFlag': False}}"
0,BEL,BELEQN,283.0,288.25,282.6,287.5,282.4,5.1,1.81,1026881750276.28,340.5,212.6,20968721,0,5997054206.0,,15.565345080763583,-35.2304797742239,27.78,02-Apr-2024,https://nsearchives.nseindia.com/365d/BEL-EQ.svg,03-Mar-2025,9.72,https://nsearchives.nseindia.com/30d/BEL-EQ.svg,https://nsearchives.nseindia.com/today/BELEQN.svg,EQ,"{'symbol': 'BEL', 'companyName': 'Bharat Electronics Limited', 'industry': 'Aerospace & Defense', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE263A01024', 'slb_isin': 'INE263A01024', 'listingDate': '2000-07-19', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Apr-2025 16:00:00', 'preOpenTime': '03-Apr-2025 09:07:11', 'QuotePreOpenFlag': False}}"
0,ASIANPAINT,ASIANPAINTEQN,2295.0,2354.9,2289.8,2347.7,2306.65,41.05,1.78,1059063631204.88,3394.9,2124.75,608846,0,1424437836.22,,30.846269404106167,-10.492999176373683,-19.75,02-Apr-2024,https://nsearchives.nseindia.com/365d/ASIANPAINT-EQ.svg,03-Mar-2025,6.47,https://nsearchives.nseindia.com/30d/ASIANPAINT-EQ.svg,https://nsearchives.nseindia.com/today/ASIANPAINTEQN.svg,EQ,"{'symbol': 'ASIANPAINT', 'companyName': 'Asian Paints Limited', 'industry': 'Paints', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE021A01026', 'slb_isin': 'INE021A01026', 'listingDate': '1995-05-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Apr-2025 16:00:00', 'preOpenTime': '03-Apr-2025 09:07:11', 'QuotePreOpenFlag': False}}"
